,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
2569,MIRT002322,hsa-let-7c-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Immunocytochemistry//Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,21224353
2570,MIRT002322,hsa-let-7c-5p,Homo sapiens,HMGA2,8091,Homo sapiens,CLASH,Functional MTI (Weak),23622248
2571,MIRT002322,hsa-let-7c-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
2572,MIRT002322,hsa-let-7c-5p,Homo sapiens,HMGA2,8091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
2573,MIRT002322,hsa-let-7c-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
2574,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,qRT-PCR//Western blot//Luciferase reporter assay,Functional MTI,17600087
2575,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,18083101
2576,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,17322030
2577,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,18413822
2578,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,19179606
2579,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22139073
2580,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,CLASH,Functional MTI (Weak),23622248
2581,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Immunofluorescence//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24617339
2582,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
2583,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
2584,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Immunohistochemistry//qRT-PCR,Functional MTI (Weak),26428358
2585,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25884389
2586,MIRT002323,hsa-let-7a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
2639,MIRT002429,hsa-miR-335-5p,Homo sapiens,MERTK,10461,Homo sapiens,Luciferase reporter assay//Microarray//Microarray;Other,Functional MTI,18185580
2658,MIRT002476,hsa-miR-16-5p,Homo sapiens,CSHL1,1444,Homo sapiens,proteomics analysis,Functional MTI (Weak),18362358
2726,MIRT002508,hsa-miR-373-3p,Homo sapiens,HERPUD1,9709,Homo sapiens,Microarray//Microarray;Other,Functional MTI (Weak),15685193
2772,MIRT002563,hsa-miR-124-3p,Homo sapiens,CDC14B,8555,Homo sapiens,Microarray,Functional MTI (Weak),15685193
2773,MIRT002563,hsa-miR-124-3p,Homo sapiens,CDC14B,8555,Homo sapiens,Microarray,Functional MTI (Weak),18668037
2879,MIRT002630,hsa-miR-124-3p,Homo sapiens,HTATIP2,10553,Homo sapiens,Microarray,Functional MTI (Weak),15685193
2880,MIRT002630,hsa-miR-124-3p,Homo sapiens,HTATIP2,10553,Homo sapiens,Microarray,Functional MTI (Weak),18668037
2931,MIRT002657,hsa-miR-124-3p,Homo sapiens,PODXL,5420,Homo sapiens,Microarray,Functional MTI (Weak),15685193
2932,MIRT002657,hsa-miR-124-3p,Homo sapiens,PODXL,5420,Homo sapiens,Microarray,Functional MTI (Weak),18668037
3010,MIRT002712,hsa-miR-124-3p,Homo sapiens,LRRC1,55227,Homo sapiens,Microarray,Functional MTI (Weak),15685193
3011,MIRT002712,hsa-miR-124-3p,Homo sapiens,LRRC1,55227,Homo sapiens,Microarray,Functional MTI (Weak),18668037
3012,MIRT002712,hsa-miR-124-3p,Homo sapiens,LRRC1,55227,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
3074,MIRT002746,hsa-miR-1-3p,Homo sapiens,HIST1H3B,8358,Homo sapiens,Microarray,Functional MTI (Weak),15685193
3076,MIRT002748,hsa-miR-1-3p,Homo sapiens,TRIM2,23321,Homo sapiens,Microarray//Microarray;Other,Functional MTI (Weak),15685193
3138,MIRT002795,hsa-miR-1-3p,Homo sapiens,SDC4,6385,Homo sapiens,Microarray,Functional MTI (Weak),15685193
3139,MIRT002795,hsa-miR-1-3p,Homo sapiens,SDC4,6385,Homo sapiens,Proteomics;Microarray,Functional MTI (Weak),18668037
3211,MIRT002914,hsa-miR-124-3p,Homo sapiens,PDLIM7,9260,Homo sapiens,Proteomics;Microarray,Functional MTI (Weak),18668037
3221,MIRT002924,hsa-miR-1-3p,Homo sapiens,KCNE1,3753,Homo sapiens,Luciferase reporter assay//Western blot//5\'RACE//Real time RT-PCR,Functional MTI,17443681
3222,MIRT002924,hsa-miR-1-3p,Homo sapiens,KCNE1,3753,Homo sapiens,qRT-PCR,Functional MTI (Weak),21169019
3292,MIRT002999,hsa-miR-98-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Northern blot//qRT-PCR//Western blot;Other,Functional MTI,17222355
3293,MIRT002999,hsa-miR-98-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Microarray,Functional MTI (Weak),19088304
3294,MIRT002999,hsa-miR-98-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
3295,MIRT002999,hsa-miR-98-5p,Homo sapiens,HMGA2,8091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
3296,MIRT002999,hsa-miR-98-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,24392454
3297,MIRT002999,hsa-miR-98-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
3356,MIRT003035,hsa-miR-181b-5p,Homo sapiens,GRIA2,2891,Homo sapiens,Luciferase assay/RT-PCR//Reporter assay;Other,Functional MTI,18184693
3441,MIRT003090,hsa-miR-122-5p,Homo sapiens,NCAM1,4684,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
3442,MIRT003090,hsa-miR-122-5p,Homo sapiens,NCAM1,4684,Homo sapiens,Microarray,Functional MTI (Weak),17179747
3443,MIRT003090,hsa-miR-122-5p,Homo sapiens,NCAM1,4684,Homo sapiens,Microarray,Functional MTI (Weak),17612493
3486,MIRT003159,hsa-miR-210-3p,Homo sapiens,NCAM1,4684,Homo sapiens,immunoprecipitaion//Luciferase reporter assay//Microarray//qRT-PCR,Functional MTI,19826008
3506,MIRT003173,hsa-miR-210-3p,Homo sapiens,SMCHD1,23347,Homo sapiens,immunoprecipitaion//Microarray//qRT-PCR,Functional MTI (Weak),19826008
3553,MIRT003212,hsa-miR-26a-5p,Homo sapiens,MAP3K2,10746,Homo sapiens,GFP reporter assay//Luciferase reporter assay//Western blot,Functional MTI,20080666
3560,MIRT003216,hsa-miR-10b-5p,Homo sapiens,KLF4,9314,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,20075075
3561,MIRT003216,hsa-miR-10b-5p,Homo sapiens,KLF4,9314,Homo sapiens,Flow//qRT-PCR//Western blot,Functional MTI,24216130
3562,MIRT003216,hsa-miR-10b-5p,Homo sapiens,KLF4,9314,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24573354
3563,MIRT003216,hsa-miR-10b-5p,Homo sapiens,KLF4,9314,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26191201
3564,MIRT003216,hsa-miR-10b-5p,Homo sapiens,KLF4,9314,Homo sapiens,Luciferase reporter assay,Functional MTI,27669739
3565,MIRT003216,hsa-miR-10b-5p,Homo sapiens,KLF4,9314,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,27764757
3576,MIRT003222,hsa-miR-150-5p,Homo sapiens,EGR2,1959,Homo sapiens,Luciferase reporter assay//semi-qRT-PCR//Western blot,Functional MTI,20067763
3577,MIRT003222,hsa-miR-150-5p,Homo sapiens,EGR2,1959,Homo sapiens,Luciferase reporter assay//Microarray//qRT-PCR,Functional MTI,23604034
3578,MIRT003225,hsa-miR-424-5p,Homo sapiens,ITPR1,3708,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,20065103
